ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
b3S,Crow,2025-04-08 00:00:00,828.0,1,True,3,enrich,True,enrich_1_trial3_first_cont,TK,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kV0,Crow,2025-04-08 00:00:00,857.0,1,True,3,enrich,True,enrich_1_trial3_first_cont,TK,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
g9D,Crow,2025-04-08 00:00:00,838.0,1,True,3,enrich,True,enrich_1_trial3_first_cont,TK,PL,NR,"grabbing foot, wrestling",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
M2G,Crow,2025-04-08 00:00:00,839.0,1,True,3,enrich,True,enrich_1_trial3_first_cont,TK,PL,NR,"grabbing foot, wrestling",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
vZ3,Crow,2025-04-08 00:00:00,840.0,1,True,3,enrich,True,enrich_1_trial3_first_cont,TK,PL,NR,"grabbing foot, wrestling",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
c5F,Crow,2025-04-08 00:00:00,841.0,1,True,3,enrich,True,enrich_1_trial3_first_cont,TK,PL,NR,"grabbing foot, wrestling",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B4n,Crow,2025-04-08 00:00:00,842.0,1,True,3,enrich,True,enrich_1_trial3_first_cont,TK,PL,NR,"grabbing foot, wrestling",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
q2K,Crow,2025-04-08 00:00:00,843.0,1,True,3,enrich,True,enrich_1_trial3_first_cont,TK,PL,NR,"grabbing foot, wrestling",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nrY,Crow,2025-04-08 00:00:00,844.0,1,True,3,enrich,True,enrich_1_trial3_first_cont,TK,PL,NR,"grabbing foot, wrestling",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9sG,Crow,2025-04-08 00:00:00,594.0,1,True,3,morn1,True,morn1_1_trial3_first_cont,TK,PL,NR,walking in circles - grabbing feet,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Xra,Crow,2025-04-08 00:00:00,595.0,1,True,3,morn1,True,morn1_1_trial3_first_cont,TK,PL,NR,walking in circles - grabbing feet,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2jS,Crow,2025-04-08 00:00:00,596.0,1,True,3,morn1,True,morn1_1_trial3_first_cont,TK,PL,NR,walking in circles - grabbing feet,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VGn,Crow,2025-04-08 00:00:00,597.0,1,True,3,morn1,True,morn1_1_trial3_first_cont,TK,PL,NR,walking in circles - grabbing feet,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gvg,Crow,2025-04-09 00:00:00,629.0,1,True,3,morn1,False,morn1_1_trial3_sec_cont,TK,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BgU,Crow,2025-04-09 00:00:00,578.0,1,True,3,morn1,False,morn1_1_trial3_sec_cont,TK,PL,,CHASE & SWING ON ROPE,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nOM,Crow,2025-04-09 00:00:00,592.0,1,True,3,morn1,False,morn1_1_trial3_sec_cont,TK,PL,,CHASE,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Y5g,Crow,2025-04-09 00:00:00,635.0,1,True,3,extra,False,extra_1_trial3_sec_cont,TK,DS,,BEFORE PLAYBACK,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
omz,Crow,2025-04-09 00:00:00,654.0,1,True,3,morn2,False,morn2_1_trial3_sec_cont,TK,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eRr,Crow,2025-04-09 00:00:00,656.0,1,True,3,morn2,False,morn2_1_trial3_sec_cont,TK,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JyY,Crow,2025-04-09 00:00:00,663.0,1,True,3,morn2,False,morn2_1_trial3_sec_cont,TK,PL,TN,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AdE,Crow,2025-04-09 00:00:00,670.0,1,True,3,morn2,False,morn2_1_trial3_sec_cont,TK,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
